time,summary,icon,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,precipType,ozone,precipAccumulation,city,demand,hour,day_of_week,month,season,kmeans_cluster
1558962000,Mostly Cloudy,partly-cloudy-day,0.0,0.0,0.6362154821186056,0.6938542380625999,69.75,0.87,0.5681470137825428,0.3681318681318681,0.4504846987264779,0.4763231197771588,0.67,0.0833333333333333,1.0,No Precipitation,0.3491103202846976,0.008611082970317,dallas,15629.0,13,0,5,Spring,6
1558965600,Mostly Cloudy,partly-cloudy-day,0.0,0.0,0.6525124490719783,0.7071814789429594,69.83,0.82,0.578866768759573,0.4113553113553114,0.382626877019578,0.5125348189415042,0.66,0.1666666666666666,1.0,No Precipitation,0.3491103202846976,0.008611082970317,dallas,16351.0,14,0,5,Spring,3
1558969200,Partly Cloudy,partly-cloudy-day,0.0001614987080103,0.01,0.6775011317338161,0.7275150407432792,69.58,0.74,0.5742725880551305,0.4179487179487179,0.3660900969397453,0.5292479108635098,0.51,0.3333333333333333,1.0,rain,0.3491103202846976,0.008611082970317,dallas,17018.0,15,0,5,Spring,3
1558972800,Clear,clear-day,0.0006459948320413,0.01,0.7029425079221366,0.7650597821948061,68.94,0.66,0.5681470137825428,0.4772893772893773,0.3738832921497815,0.520891364902507,0.3,0.5,1.0,rain,0.3487544483985766,0.008611082970317,dallas,17516.0,16,0,5,Spring,3
1558976400,Partly Cloudy,partly-cloudy-day,0.0008882428940568,0.01,0.7212313263920325,0.7824232731703602,68.65,0.62,0.5558958652373676,0.5054945054945056,0.3451815244250142,0.5125348189415042,0.31,0.6666666666666666,1.0,rain,0.3483985765124554,0.008611082970317,dallas,17914.0,17,0,5,Spring,3
1558980000,Clear,clear-day,0.0010497416020671,0.01,0.7359891353553644,0.7981874952402711,68.98,0.59,0.5436447166921905,0.5208791208791209,0.3263638091617564,0.49025069637883,0.23,0.75,1.0,rain,0.3594306049822063,0.008611082970317,dallas,17918.0,18,0,5,Spring,3
1558983600,Clear,clear-day,0.0004037467700258,0.01,0.7519239474875509,0.8130378493641003,68.85,0.56,0.5329249617151621,0.5604395604395604,0.3554457327504277,0.4846796657381615,0.23,0.75,1.0,rain,0.3658362989323843,0.008611082970317,dallas,17650.0,19,0,5,Spring,3
1558987200,Clear,clear-day,0.000484496124031,0.01,0.7634223630602083,0.8241565760414287,68.85,0.53,0.5191424196018399,0.5853479853479854,0.361718304504847,0.4818941504178273,0.23,0.6666666666666666,1.0,rain,0.3729537366548042,0.008611082970317,dallas,17022.0,20,0,5,Spring,3
1558990800,Clear,clear-day,0.0005652454780361,0.01,0.7571751923947486,0.8176833447566827,68.77,0.54,0.5068912710566629,0.572893772893773,0.3927010074130393,0.479108635097493,0.27,0.5,1.0,rain,0.3772241992882562,0.008611082970317,dallas,16415.0,21,0,5,Spring,3
1558994400,Partly Cloudy,partly-cloudy-day,0.0,0.0,0.761792666364871,0.8213388165410098,68.62,0.53,0.4946401225114858,0.5886446886446887,0.4098080212887284,0.4763231197771588,0.32,0.3333333333333333,1.0,No Precipitation,0.3761565836298931,0.008611082970317,dallas,16029.0,22,0,5,Spring,3
1558998000,Partly Cloudy,partly-cloudy-day,0.0004037467700258,0.01,0.7591670439112721,0.8195110806488463,68.75,0.54,0.4854517611026043,0.5747252747252747,0.3982132674396503,0.4735376044568245,0.37,0.1666666666666666,1.0,rain,0.3733096085409252,0.008611082970317,dallas,14860.0,23,0,5,Spring,6
1559001600,Clear,clear-day,0.0005652454780361,0.01,0.7471253961068356,0.8086208209580382,68.89,0.57,0.4839203675344574,0.5095238095238096,0.3679908762592663,0.4596100278551532,0.16,0.0833333333333333,1.0,rain,0.3690391459074732,0.008611082970317,dallas,13431.0,0,1,5,Spring,6
